headset,measure,Ambient,Labs,Rain,HeavyRain,Grass,Wood,LabsWalk,LabsRun,Bush,SV
None,average,-28.874294374990175,-30.712759560522525,-28.940745970130045,-28.525029164124838,-28.96036634019749,,-30.72690621862778,-26.75216338590753,-28.20479032365909,-15.981678760965757
None,peak,-20.485823146056084,-23.357545516352115,-15.961102981723045,-18.508079594035923,-20.482119141721512,,-20.714051390416415,-10.840057533425057,-16.01636082576001,-3.4378928848623285
None,0.001,-22.43700707637853,-23.63561453421257,-22.654598928915792,-22.613167526015197,-22.677695313201816,,-21.777978479821414,-15.044108149645579,-21.02846224535975,-3.906155279228787
None,0.005,-24.568427621755756,-25.727824807792686,-24.167197049133335,-25.026797953423035,-24.213362863167763,,-24.261390545480875,-16.848773040330975,-22.423591811308476,-4.549594639324447
None,0.015,-25.35321213721044,-27.25788823477986,-25.57735250988937,-26.567573887134305,-25.72171037259523,,-25.769611986680427,-17.992949099626777,-23.445813690662447,-5.246223316114475
None,0.025,-25.924133603903332,-27.812336586479212,-26.221885056948246,-27.005675341443514,-26.21873684556582,,-26.386162312025014,-18.65652303539982,-23.520550339134555,-5.2582952028977985
None,0.05,-26.669298854272366,-28.437335905982017,-26.75397922194222,-27.516409251001125,-26.706059055728577,,-27.113074106581575,-20.31693848839106,-23.735922144581853,-6.04495259467002
M32,average,-30.03031057744248,-27.866452769347237,-29.96914787240579,-29.387746573985574,-28.780779231698226,-23.163013131198316,-26.729408000422154,-19.757576617079224,,-17.642185292905772
M32,peak,-21.27171071500079,-20.94257466653969,-16.112755666755547,-16.472464793226017,-15.918174017826694,-6.865484729327321,-12.248032884820148,-5.175722980325372,,-3.010299956639812
M32,0.001,-23.602519660006365,-21.18517868608057,-22.550939192319138,-18.738293716646496,-19.71001344687634,-7.030227742611798,-12.593543120696012,-6.395784158345147,,-4.034838138717527
M32,0.005,-25.13097310043259,-22.569078836020118,-25.069610605803575,-21.86424375098295,-21.92078281937031,-8.52302507364708,-14.204915188855017,-8.560558585819697,,-5.423478604847113
M32,0.015,-26.628607696182193,-23.88184829526601,-26.666563847699436,-24.206034511441977,-23.527053144107406,-9.575724407581673,-15.209769440285378,-9.544786962264165,,-6.683415234503494
M32,0.025,-27.247762773216838,-24.63032891407803,-27.336163994152336,-24.99346939492351,-24.61496989751168,-10.199078637895564,-16.330767606154474,-10.257312000405406,,-7.052727678855323
M32,0.05,-27.663571915031653,-25.07086371474916,-27.844755020927675,-25.283412676585712,-25.70523772150367,-12.288110568047884,-18.894722072241002,-12.498128295014123,,-8.208924663779984
Gssh,average,-29.411019292432123,-27.80100785534924,-29.326037521080053,-28.99606477538393,-28.412763048030918,-22.79002428672775,-26.216917834458243,-18.59095461066042,-24.898673680629653,-17.687220297271793
Gssh,peak,-20.971486436399726,-20.575680382257254,-16.262883500483973,-18.536372494224565,-16.26008160050354,-5.740378945861683,-12.08864087380567,-4.510387472288201,-9.973968548799965,-3.010366225224306
Gssh,0.001,-22.906991558087896,-20.888462646150927,-23.104671561144347,-23.37503730954355,-19.738352386917562,-6.0180734247542365,-12.420684926575401,-5.301993149026584,-14.361535503361038,-3.443099486716696
Gssh,0.005,-25.05174076471711,-22.355704990516593,-24.599803821305702,-25.848018621594587,-22.32598759054193,-7.45453720483855,-13.94983693422206,-7.35016993312875,-15.616765194039328,-5.299091556657496
Gssh,0.015,-25.836430623427688,-23.70969792584423,-26.159728706978512,-27.057148048122393,-23.480087747200834,-8.398580632155246,-15.313652451263845,-7.882806819268334,-16.636827651124342,-5.709779234922523
Gssh,0.025,-26.41065731599591,-24.317868772059036,-26.6874751084169,-27.707949598966724,-24.39525599627234,-9.101530544209993,-16.171708290681156,-8.82239918676717,-16.915347899924424,-6.208724221342903
Gssh,0.05,-27.153058802225353,-25.003878112000308,-27.202527198871774,-27.987634540755728,-25.045209924557774,-11.067708616956889,-18.381845879240842,-10.80873174362049,-17.20815853410873,-7.040718566915155
CT2,average,-31.447431723029506,-31.92590540440603,-31.568154681697216,-31.01464694700724,-29.800029143972004,-25.72787467752351,-29.666215852218087,-22.101446615621697,-27.062565654710586,-17.96120615620376
CT2,peak,-22.992840326737248,-23.639268673947736,-17.45334640172616,-20.784926042902683,-17.05385520114363,-10.863035064602183,-15.978131591278274,-6.56191517492411,-11.949920660430688,-3.010366225224306
CT2,0.001,-24.94848553242192,-24.041721424221517,-24.39674937604005,-25.53759243465838,-20.47304086565511,-11.641280844416475,-16.387631132812803,-8.026195061929066,-16.680560721292327,-4.46123103785667
CT2,0.005,-27.072466373203742,-26.10433344525667,-27.39467337301708,-27.8678262950757,-22.784348781095463,-13.001167582479816,-17.96955795166952,-9.760171104079783,-17.832170547392202,-5.68677951034113
CT2,0.015,-27.862202810814104,-27.893767905041557,-28.18149461812727,-28.674401956777835,-25.19119503546802,-13.376612294347387,-19.844106866751538,-11.486460807875453,-18.766444641332406,-6.484773135628603
CT2,0.025,-28.42968631016541,-28.511143026796624,-28.855336715397666,-29.38817552554205,-26.268199872553247,-14.337908276425148,-21.486817507355333,-12.823882043707492,-19.05368745562521,-6.823696828374482
CT2,0.05,-29.176876091280807,-29.217746465237568,-29.485823926548626,-29.842738030029494,-27.195856746173824,-16.268047287655612,-23.83471031730012,-14.810390424261415,-19.450310386879995,-7.250165104084942
CT4,average,-32.87111045248341,-28.16728003403623,-32.958143176704525,-31.712107039193832,-30.219164005916603,-25.097030323986434,-29.202877456498587,-22.38955257990103,-25.1060458472894,-21.013422305738448
CT4,peak,-24.472640732135563,-20.98809427621437,-19.93005701453398,-22.619907706198802,-16.236338154348577,-8.119436127723764,-14.75837553062994,-4.379185186051228,-9.976933803504645,-3.010299956639812
CT4,0.001,-26.589407458497153,-21.23472873261357,-26.4012554251913,-25.822158062449102,-20.280785279212395,-8.429165309667253,-15.211752857871222,-8.081658022819177,-14.314121877388681,-4.287904571122989
CT4,0.005,-28.12402940664906,-23.060994570668683,-28.078410534135223,-28.277284740590595,-22.6217252181814,-10.357063350770066,-16.885869581568723,-10.731186025258912,-15.916532705462709,-5.061256238139231
CT4,0.015,-29.67430911718119,-23.94348266887174,-29.71114873170391,-28.98129617877595,-24.007628735756033,-11.563800224840254,-19.017637694691782,-12.39621978276946,-16.833162331161816,-6.9972282416131595
CT4,0.025,-30.31719000907412,-24.4994426791307,-30.381743531515973,-29.43937667660872,-25.38225459744353,-12.693660908436534,-20.35172298070352,-13.448404620487413,-17.128113717066473,-8.283302137115623
CT4,0.05,-30.797546855652747,-25.8421871844821,-30.72613013615915,-29.896546869380014,-25.908747251300255,-14.878849740750237,-22.267936961644796,-15.61770162455459,-17.616318568318942,-9.875595799323984
Razor,average,-30.498088961941605,-31.02642217998964,-31.143131119904794,-29.151795945849987,-29.326958130898095,-25.821639853006978,-29.62395208492231,-23.93170885590588,-25.56504719719863,-20.170875287034498
